symbol	code	company	price	high_52w	low_52w	range_position	sector	industry	market	volume	relative_volume	market_cap	per	pbr	dividend_yield	eps_ttm	perf_1y	flags
TSE:8918	8918	ランド	10	12	8	50.0	金融	不動産開発	TSE	279167700	0.94	15378829346	16.64	1.61	0	0.6	11.11	超低位
TSE:9399	9399	ビート・ホールディングス・リミテッド	14	183	9	2.9	テクノロジーサービス	インターネットソフトウェア・サービス	TSE	3555399	5.79	2383362228		17.41	0	-9.33	-87.79	超低位|小型|出来高過熱|赤字TTM|52週安値圏
TSE:8894	8894	ＲＥＶＯＬＵＴＩＯＮ	16	73	15	1.7	耐久消費財	住宅建設	TSE	2254200	2.84	2810370087		2.78	0	-8.93	-78.08	超低位|小型|赤字TTM|52週安値圏
TSE:2134	2134	北浜キャピタルパートナーズ	17	50	16	2.9	金融	投資運用会社	TSE	3820000	1.78	9637901184		1.89	0	-2.71	-66	超低位|小型|赤字TTM|52週安値圏
TSE:9973	9973	ＫＯＺＯホールディングス	19	43	19	0.0	消費者サービス	飲食店	TSE	424100	0.56	5942290649		12.01	0	-2.4	-24	超低位|小型|赤字TTM|52週安値圏
TSE:4564	4564	オンコセラピー・サイエンス	21	34	18	18.8	ヘルスケアテクノロジー	バイオテクノロジー	TSE	130622600	0.79	8573117340.0		3.65	0	-2.44	-25	超低位|小型|赤字TTM
TSE:3664	3664	ＷＩＺＥ	24	75	20	7.3	電子テクノロジー	通信機器	TSE	40169700	1.06	2530605042		1.83	0	-8.17	-55.56	超低位|小型|赤字TTM|52週安値圏
NAG:3808	3808	オーケーウェブ	24	70	21	6.1	テクノロジーサービス	インターネットソフトウェア・サービス	NAG	96600	1.38	1230046051		3.31	0	-5.08	-58.62	超低位|極小時価総額|低流動性|赤字TTM|52週安値圏
TSE:2370	2370	メディネット	25	43	23	10.0	ヘルスケアテクノロジー	バイオテクノロジー	TSE	126600	0.57	7091682434		2.07	0	-4.06	-30.56	超低位|小型|赤字TTM|52週安値圏
TSE:8836	8836	ＲＩＳＥ	26	39	22	23.5	金融	不動産開発	TSE	33800	1.47	2592356781	118.88		0	0.22	-31.58	超低位|小型|低流動性
TSE:6573	6573	ＣＲＡＶＩＡ	27	118	21	6.2	商業サービス	広告・マーケティングサービス	TSE	298000	0.74	1863812119		3.43	0	-8.68	-77.87	超低位|極小時価総額|赤字TTM|52週安値圏
TSE:9704	9704	アゴーラ　ホスピタリティー　グループ	27	69	26	2.3	消費者サービス	ホテル・リゾート・クルーズライン	TSE	589900	1.5	7110443115	7.67	1.25	0	3.52	-57.81	超低位|小型|52週安値圏
TSE:3667	3667	ＥＮＩＳＨ	28	108	25	3.6	テクノロジーサービス	パッケージソフトウェア	TSE	314600	1.64	1506667751		1.81	0	-27.89	-74.77	超低位|極小時価総額|赤字TTM|52週安値圏
TSE:3672	3672	オルトプラス	28	80	25	5.5	テクノロジーサービス	ITサービス	TSE	137700	1.3	2625254250		1.92	0	-9.41	-67.06	超低位|小型|赤字TTM|52週安値圏
TSE:2388	2388	ウェッジホールディングス	30	73	30	0.0	金融	ファイナンス・レンタル・リース	TSE	195500	2.25	1316107422		1.5	0	-69.02	-58.9	超低位|極小時価総額|赤字TTM|52週安値圏
TSE:8107	8107	キムラタン	30	45	29	6.2	非耐久消費財	アパレル・フットウェア	TSE	144200	0.74	8536939087.0		5.15	0	-0.39	-30.23	超低位|小型|赤字TTM|52週安値圏
TSE:4597	4597	Ｇ−ソレイジア	31	42	21	47.6	ヘルスケアテクノロジー	大手医薬品	TSE	55329300	0.82	8462205322		5.83	0	-3.37	-16.22	超低位|小型|赤字TTM
TSE:4883	4883	Ｇ−モダリス	33	84	29	7.3	ヘルスケアテクノロジー	バイオテクノロジー	TSE	886600	0.15	3661813156		1.3	0	-24.03	-59.76	超低位|小型|赤字TTM|52週安値圏
TSE:4563	4563	アンジェス　ＭＧ	36	93	34	3.4	ヘルスケアテクノロジー	ジェネリック医薬品	TSE	1518300	0.83	14358071777		69.81	0	-9.83	-56.63	超低位|赤字TTM|52週安値圏
TSE:7603	7603	ジーイエット	36	315	33	1.1	小売業	アパレル・フットウェア小売	TSE	654500	1.01	3025023621		0.86	0	-113.24	-86.31	超低位|小型|赤字TTM|52週安値圏
TSE:3823	3823	ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ	40	80	28	23.1	テクノロジーサービス	パッケージソフトウェア	TSE	2999200	0.29	6622122620		3.53	0		-42.86	超低位|小型
TSE:3070	3070	ジェリービーンズグループ	44	145	43	1.0	非耐久消費財	アパレル・フットウェア	TSE	4254800	3.75	4403590271		0.79	0	-7.83	-60.36	超低位|小型|出来高過熱|赤字TTM|52週安値圏
TSE:3777	3777	環境フレンドリーホールディングス	44	82	39	11.6	商業サービス	その他法人向けサービス	TSE	1566100	1.42	16705126648.0	205.42	2.84	0	0.21	-22.81	超低位|52週安値圏
TSE:9978	9978	文教堂グループホールディングス	44	60	43	5.9	小売業	専門店	TSE	70900	1.86	1928162231			0	-3.52	-22.81	超低位|極小時価総額|低流動性|赤字TTM|52週安値圏
TSE:3133	3133	海帆	46	750	46	0.0	消費者サービス	飲食店	TSE	1644000	2.56	3549894859		3.11	0	-93.71	-93.3	超低位|小型|赤字TTM|52週安値圏
TSE:8783	8783	ＡＢＣ	46	348	46	0.0	金融	投資運用会社	TSE	557900	0.8	2559884216		0.22	0		-86.02	超低位|小型|52週安値圏
TSE:6659	6659	メディアリンクス	47	115	32	18.1	電子テクノロジー	通信機器	TSE	4549100	1.07	3697125237		1.46	0	-19.03	-26.56	超低位|小型|赤字TTM
TSE:6786	6786	ＲＶＨ	48	83	46	5.4	テクノロジーサービス	ITサービス	TSE	24300	0.87	1215415649	65.68	1.62	0	0.73	-42.86	超低位|極小時価総額|低流動性|52週安値圏
TSE:4881	4881	Ｇ−ファンペップ	49	130	45	4.7	ヘルスケアテクノロジー	バイオテクノロジー	TSE	174100	1.01	2533334923		1.48	0	-37.74	-54.21	超低位|小型|赤字TTM|52週安値圏
TSE:6740	6740	ジャパンディスプレイ	49	164	17	21.8	電子テクノロジー	電子機器製造装置	TSE	6447900	0.65	224117578125			0	-0.42	96	超低位|赤字TTM
TSE:7527	7527	システムソフト	49	89	44	11.1	テクノロジーサービス	ITサービス	TSE	1772800	1.39	5290103531	153.17	0.99	0	0.32	-44.32	超低位|小型|52週安値圏
TSE:4594	4594	ブライトパス・バイオ株式会社	53	96	43	18.9	ヘルスケアテクノロジー	大手医薬品	TSE	3432400	1.29	8472364426		4.04	0	-12.84	-24.29	低位|小型|赤字TTM
TSE:7709	7709	クボテック	54	218	36	9.9	電子テクノロジー	電子機器・計器	TSE	1017600	0.41	826070423			0	-19.48	-73	低位|極小時価総額|赤字TTM|52週安値圏
TSE:4582	4582	シンバイオ製薬	56	229	53	1.7	ヘルスケアテクノロジー	大手医薬品	TSE	956400	1.1	4408593330			0	-97.62	-60	低位|小型|赤字TTM|52週安値圏
TSE:4833	4833	ＤＥＦ　ＣＯＮＳＵＬＴＩＮＧ	58	143	32	23.4	消費者サービス	書籍・雑誌出版	TSE	7281500	3.99	3630100632		2.22	0	-37.38	-66.08	低位|小型|出来高過熱|赤字TTM
TSE:4316	4316	ビーマップ	59	1728	59	0.0	テクノロジーサービス	ITサービス	TSE	977600	1.24	242140306		0.55	0	-34.06	-95.6	低位|極小時価総額|赤字TTM|52週安値圏
TSE:2586	2586	フルッタフルッタ	60	278	60	0.0	非耐久消費財	食品: 専門品・菓子	TSE	1983500	2.21	7432424664		0.95	0	-1.48	-74.36	低位|小型|赤字TTM|52週安値圏
TSE:3686	3686	ディー・エル・イー	60	157	56	4.0	テクノロジーサービス	ITサービス	TSE	102900	0.42	2606906433		2.05	0	-15.67	-57.75	低位|小型|赤字TTM|52週安値圏
TSE:4586	4586	メドレックス	62	225	48	7.9	ヘルスケアテクノロジー	大手医薬品	TSE	848200	1.39	4111836090		2.35	0	-14.45	-42.59	低位|小型|赤字TTM|52週安値圏
TSE:3840	3840	ヴィクトン	63	107	51	21.4	小売業	インターネット小売	TSE	185200	1.16	5126174683		2.9	0	-15.24	-41.67	低位|小型|赤字TTM
TSE:7063	7063	ＢＩＲＤＭＡＮ	63	275	59	1.9	商業サービス	その他法人向けサービス	TSE	736800	1.67	2224844826		2.92	0	-49.79	-75.39	低位|小型|赤字TTM|52週安値圏
NAG:3260	3260	エスポア	65	1013	61	0.4	金融	不動産開発	NAG	868800	3.84	394363832	30.51	17.18	0	2.13	-92.07	低位|極小時価総額|出来高過熱|52週安値圏
TSE:4596	4596	窪田製薬ホールディングス	66	350	41	8.1	ヘルスケアテクノロジー	大手医薬品	TSE	602600	0.37	10701509857		6.31	0	-6.73	-12	低位|赤字TTM|52週安値圏
TSE:7831	7831	ウイルコホールディングス	66	120	62	6.9	商業サービス	商業印刷・フォーム	TSE	22300	0.84	1005521379		0.55	3.08	-6.59	-41.59	低位|極小時価総額|低流動性|赤字TTM|52週安値圏
TSE:2315	2315	ＣＡＩＣＡ　ＤＩＧＩＴＡＬ	67	137	53	16.7	テクノロジーサービス	ITサービス	TSE	4111900	0.81	11760223389		2.1	0	-3.51	-42.24	低位|赤字TTM
TSE:1783	1783	ＦＡＮＴＡＳＩＳＴＡ	68	80	46	64.7	金融	不動産開発	TSE	1473900	0.22	13724907990		1.7	0	-0.2	15.25	低位|赤字TTM
TSE:2762	2762	ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ	69	109	63	13.0	消費者サービス	飲食店	TSE	132200	0.58	3056201370		45.95	0	-20.34	-28.12	低位|小型|赤字TTM|52週安値圏
TSE:5721	5721	エスクリプトエナジー	69	232	49	10.9	流通サービス	卸売業者	TSE	15970000	15.47	9596882538		2.71	0	-13.51	-56.27	低位|小型|出来高過熱|赤字TTM|52週安値圏
TSE:6634	6634	ＪＮグループ	69	164	50	16.7	小売業	アパレル・フットウェア小売	TSE	30500	0.13	3139318375		1.28	0	-24.17	-54	低位|小型|低流動性|赤字TTM
TSE:190A	190A	ＣＨＯＲＤＩＡ　ＴＨＥＲＡＰＥＵＴＩＣＳ	70	179	66	3.5	ヘルスケアテクノロジー	大手医薬品	TSE	153200	0.52	5330829597		2.32	0	-20.05	-51.72	低位|小型|赤字TTM|52週安値圏
TSE:4576	4576	デ・ウエスタン・セラピテクス研究所	71	181	66	4.3	ヘルスケアテクノロジー	大手医薬品	TSE	627300	1.36	3971592453		2.9	0	-12.03	-35.45	低位|小型|赤字TTM|52週安値圏
TSE:2694	2694	焼肉坂井ホールディングス	72	74	69	60.0	消費者サービス	飲食店	TSE	332900	2.0	16904885010.0		2.76	0.69	-1.51	-2.7	低位|赤字TTM
TSE:4772	4772	ＳＭ　ＥＮＴＥＲＴＡＩＮＭＥＮＴ　ＪＡＰＡＮ	72	131	63	13.2	消費者サービス	ケーブル・衛星放送テレビ	TSE	116900	1.32	8344456787.0	30.42	1.16	2.78	2.37	-39.5	低位|小型|52週安値圏
TSE:6721	6721	ウインテスト	73	149	69	5.0	電子テクノロジー	電子機器・計器	TSE	826000	3.13	4553402802		11.4	0	-22.88	-39.17	低位|小型|出来高過熱|赤字TTM|52週安値圏
TSE:7836	7836	アビックス	74	109	73	2.8	生産財製造	その他製造	TSE	91500	1.07	2599587898	14.75	1.38	0	5.02	-24.49	低位|小型|低流動性|52週安値圏
TSE:8946	8946	ＡＳＩＡＮ　ＳＴＡＲ	74	159	71	3.4	金融	不動産開発	TSE	75700	1.08	1977650028		0.83	0	-3.21	-28.85	低位|極小時価総額|低流動性|赤字TTM|52週安値圏
TSE:7578	7578	ニチリョク	76	141	64	15.6	産業サービス	エンジニアリング・建設	TSE	39400	0.4	1429799431		0.51	0	-11.73	-43.28	低位|極小時価総額|低流動性|赤字TTM
TSE:4591	4591	リボミック	78	120	57	33.3	ヘルスケアテクノロジー	大手医薬品	TSE	508200	1.04	4525811157		1.61	0	-22.67	-17.02	低位|小型|赤字TTM
TSE:7692	7692	アースインフィニティ	78	133	73	8.3	電子テクノロジー	電子機器製造装置	TSE	152500	0.44	8480100845.0	14.63	6.06	3.38	5.33	-32.76	低位|小型|52週安値圏
TSE:8105	8105	ＢＩＴＣＯＩＮ　ＪＡＰＡＮ	78	1001	73	0.5	素材産業	繊維	TSE	1371000	1.18	5947227814		1.06	0	-10.17	-88.41	低位|小型|赤字TTM|52週安値圏
TSE:8166	8166	タカキュー	78	114	76	5.3	小売業	アパレル・フットウェア小売	TSE	79400	2.77	3291536579	8.32	4.0	0	9.37	-22.77	低位|小型|低流動性|52週安値圏
NAG:3346	3346	ヒロタグループホールディングス	79	93	78	6.7	消費者サービス	飲食店	NAG	25300	1.09	2157103241	8.22	5.61	0	9.61	-8.14	低位|小型|低流動性|52週安値圏
TSE:3266	3266	ファンドクリエーショングループ	81	133	77	7.1	金融	投資銀行・ブローカー	TSE	25000	0.6	2976235737	10.16	0.95	1.27	7.97	-27.03	低位|小型|低流動性|52週安値圏
TSE:3113	3113	ＵＮＩＶＡ・ＯＡＫホールディングス	82	116	59	40.4	金融	投資銀行・ブローカー	TSE	51600	0.23	7645266922		3.48	0	-2.3	6.49	低位|小型|低流動性|赤字TTM
TSE:5255	5255	モンスターラボ	82	228	69	8.2	テクノロジーサービス	ITサービス	TSE	278000	1.12	5043279144			0	-1.94	-58.59	低位|小型|赤字TTM|52週安値圏
TSE:5955	5955	ワイズホールディングス	84	155	75	11.2	生産財製造	金属加工	TSE	567800	0.68	11165350525	29.29	0.93	1.22	2.87	0	低位|52週安値圏
TSE:6177	6177	ＡＰＰＢＡＮＫ	84	262	72	6.3	テクノロジーサービス	パッケージソフトウェア	TSE	48500	0.32	2093995134.0		2.99	0	-34.66	-55.08	低位|小型|低流動性|赤字TTM|52週安値圏
TSE:7571	7571	ヤマノホールディングス	84	132	78	11.1	小売業	専門店	TSE	246500	0.82	2929347794	15.19	2.18	1.79	5.53	-35.38	低位|小型|52週安値圏
TSE:3409	3409	北紡	85	185	78	6.5	素材産業	繊維	TSE	87100	1.45	2681423740		1.73	0	-4.64	-54.3	低位|小型|低流動性|赤字TTM|52週安値圏
TSE:6993	6993	大黒屋ホールディングス	89	193	30	36.2	小売業	専門店	TSE	2630000	1.92	66773820190		12.13	0	-2.98	134.21	低位|赤字TTM|1年変動大
TSE:3624	3624	アクセルマーク	90	121	48	57.5	商業サービス	広告・マーケティングサービス	TSE	1188500	0.98	5551619568		5.29	0	-40.23	-21.05	低位|小型|赤字TTM
TSE:6181	6181	タメニー	90	145	68	28.6	ヘルスケアサービス	ヘルスケア産業サービス	TSE	22800	0.25	4047171364		3.48	0	-2.96	-25.62	低位|小型|低流動性|赤字TTM
TSE:288A	288A	ラクサス・テクノロジーズ	93	178	87	6.6	商業サービス	その他法人向けサービス	TSE	44000	1.14	2388585236	25.42	0.77	0	3.66	-45.93	低位|小型|低流動性|52週安値圏
TSE:3323	3323	レカム	93	146	69	31.2	流通サービス	電子専門商社	TSE	341500	1.3	7512467651	33.13	1.28	1.09	2.81	-39.61	低位|小型
TSE:3358	3358	ＴＲＡＩＬＨＥＡＤ　ＧＬＯＢＡＬ　ＨＯＬＤＩＮＧＳ	93	174	82	12.0	消費者サービス	飲食店	TSE	90100	1.65	3542632351	44.55	1.59	0	2.09	-8.82	低位|小型|低流動性|52週安値圏
TSE:3807	3807	フィスコ	93	149	79	20.0	テクノロジーサービス	インターネットソフトウェア・サービス	TSE	402600	1.43	4123486862.0	16315.79	20.54	0	0.01	-37.58	低位|小型
TSE:9980	9980	マルコ	93	182	86	7.3	小売業	アパレル・フットウェア小売	TSE	126600	1.61	9521715485	8.22	0.58	1.06	11.31	-7	低位|小型|52週安値圏
TSE:2330	2330	フォーサイド	94	238	69	14.8	消費者サービス	書籍・雑誌出版	TSE	508100	0.07	4017655975	13.97	1.36	0	6.73	-57.85	低位|小型|52週安値圏
TSE:2776	2776	新都ホールディングス	94	151	89	8.1	流通サービス	卸売業者	TSE	92800	0.24	5298083725	17.21	1.46	0	5.46	-36.49	低位|小型|低流動性|52週安値圏
TSE:3237	3237	イントランス	94	114	53	67.2	金融	不動産開発	TSE	113500	0.43	4370283913		27.47	0	-9.94	-2.08	低位|小型|赤字TTM
TSE:7615	7615	京都きもの友禅ホールディングス	97	213	91	4.9	小売業	アパレル・フットウェア小売	TSE	164100	1.13	2016017715	12.69	0.65	0	7.65	-47.57	低位|小型|52週安値圏
TSE:3315	3315	日本コークス工業	99	153	86	19.4	エネルギー鉱物	石油精製・販売	TSE	6753900	0.85	28811785583		0.85	0	-24.79	-1	低位|赤字TTM
TSE:4571	4571	ＮＡＮＯホールディングス	100	254	93	4.3	ヘルスケアテクノロジー	その他医薬品	TSE	310900	0.93	9070313263		2.52	0	-13.45	-26.47	小型|赤字TTM|52週安値圏
TSE:6494	6494	ＮＦＫホールディングス	100	181	83	17.3	生産財製造	産業機械	TSE	213500	1.37	4923160900	26.94	0.83	0	3.71	-13.79	小型
TSE:6803	6803	ティアック	100	139	90	20.4	耐久消費財	家電製品	TSE	247300	0.81	2880787659	3.54	0.71	1	28.23	4.17	小型
TSE:2721	2721	ジェイホールディングス	101	259	99	1.2	非エネルギー鉱物	建材	TSE	56800	1.05	1728183495		3.32	0	-22.14	-45.99	極小時価総額|低流動性|赤字TTM|52週安値圏
