rank	code	company	price	market_cap	market_cap_5x	score_quant	capital_1000_shares	profit_if_5x_1000	per	pbr	eps_ttm	roe	debt_to_equity	volume	relative_volume	range_position	perf_1y	sector	industry	quant_reasons
1	6803	ティアック	99	2851979782	14259898910	79	99000	396000	3.51	0.7	28.23	22.48	0.97	323900	1.01	18.4	3.12	耐久消費財	家電製品	時価総額50億円以下|5倍後でも300億円以下|TTM黒字|PER20倍以下|PBR1倍割れ|ROE8%超
2	4918	アイビー化粧品	296	1675165148	8375825740	72	296000	1184000	10.51	0.82	28.16	8.55	0.16	3800	0.38	22.6	-11.38	非耐久消費財	日用品・パーソナルケア	時価総額20億円以下|5倍後でも100億円以下|TTM黒字|PER20倍以下|PBR1倍割れ|ROE8%超
3	2330	フォーサイド	95	4323347191	21616735955	71	95000	380000	14.12	1.38	6.73	10.11	0.26	1764500	0.25	15.4	-58.15	消費者サービス	書籍・雑誌出版	時価総額50億円以下|5倍後でも300億円以下|TTM黒字|PER20倍以下|ROE8%超|52週レンジ下位
4	6548	旅工房	132	2454381104	12271905520	70	132000	528000	16.97	3.52	7.78	23.19	0.67	247900	1.17	34.8	-16.46	消費者サービス	その他消費者向けサービス	時価総額50億円以下|5倍後でも300億円以下|TTM黒字|PER20倍以下|ROE8%超|52週レンジ下位
5	9423	フォーバル・リアルストレート	104	2524891357	12624456785	70	104000	416000	12.54	3.65	8.29	32.01	0	121900	1.15	26.3	-7.96	商業サービス	その他法人向けサービス	時価総額50億円以下|5倍後でも300億円以下|TTM黒字|PER20倍以下|ROE8%超|52週レンジ下位
6	2193	クックパッド	128	9187293869	45936469345	70	128000	512000	7.61	0.69	16.82	9.45	0.04	142900	0.56	25.4	-26.01	商業サービス	広告・マーケティングサービス	時価総額100億円以下|TTM黒字|PER20倍以下|PBR1倍割れ|ROE8%超|52週レンジ下位
7	3936	グローバルウェイ	130	4995771404	24978857020	69	130000	520000	17.01	4.09	7.64	29.9	0.1	460300	1.16	8.0	-27.37	テクノロジーサービス	ITサービス	時価総額50億円以下|5倍後でも300億円以下|TTM黒字|PER20倍以下|ROE8%超
8	8165	千趣会	101	4783681870	23918409350	68	101000	404000	0.79	0.27	127.78	42.38	0.04	166200	1.18	0.0	-58.78	小売業	インターネット小売	時価総額50億円以下|5倍後でも300億円以下|TTM黒字|PER20倍以下|PBR1倍割れ|ROE8%超
9	7851	カワセコンピュータサプライ	180	879945414	4399727070	67	180000	720000	13.82	0.32	13.03	2.45	0.19	4500	1.36	17.3	-30.77	消費者サービス	書籍・雑誌出版	時価総額20億円以下|5倍後でも100億円以下|TTM黒字|PER20倍以下|PBR1倍割れ|52週レンジ下位
10	7571	ヤマノホールディングス	85	2929347794	14646738970	67	85000	340000	15.37	2.2	5.53	15.1	2.42	284700	0.88	13.0	-35.11	小売業	専門店	時価総額50億円以下|5倍後でも300億円以下|TTM黒字|PER20倍以下|ROE8%超|52週レンジ下位
